Date,Open*,High,Low,Close,Volume,Market Cap
"Apr 15, 2021",$38.42,$40.80,$36.41,$37.14,"$578,582,518","$4,776,091,385"
"Apr 16, 2021",$37.02,$37.57,$33.18,$35.63,"$441,000,850","$4,582,330,231"
"Apr 17, 2021",$35.54,$36.88,$33.91,$34.34,"$299,361,049","$4,416,547,749"
"Apr 18, 2021",$34.36,$34.70,$23.41,$29.25,"$586,258,120","$3,762,224,753"
"Apr 19, 2021",$29.29,$30.46,$25.61,$26.28,"$305,510,537","$3,380,352,539"
"Apr 20, 2021",$26.14,$28.27,$24.01,$27.35,"$351,820,081","$3,517,821,396"
"Apr 21, 2021",$27.41,$28.40,$25.85,$25.90,"$255,465,065","$3,332,165,020"
"Apr 22, 2021",$25.83,$27.73,$22.97,$24.03,"$293,095,836","$3,091,931,708"
"Apr 23, 2021",$23.99,$24.67,$20.01,$23.50,"$381,922,880","$3,023,143,473"
"Apr 24, 2021",$23.58,$23.89,$21.52,$21.78,"$177,292,845","$2,801,787,039"
"Apr 25, 2021",$21.83,$23.68,$20.46,$21.54,"$138,398,301","$2,771,761,990"
"Apr 26, 2021",$21.62,$26.48,$21.41,$26.46,"$264,631,790","$3,405,967,321"
"Apr 27, 2021",$26.47,$27.86,$25.77,$27.82,"$214,406,079","$3,581,523,488"
"Apr 28, 2021",$27.92,$29.03,$25.88,$28.33,"$240,501,701","$3,646,901,933"
"Apr 29, 2021",$28.30,$29.68,$26.64,$27.93,"$218,944,693","$3,595,794,106"
"Apr 30, 2021",$27.93,$32.98,$27.53,$32.92,"$386,072,188","$4,238,397,185"
"May 01, 2021",$32.90,$35.64,$31.77,$31.89,"$415,039,866","$4,106,502,388"
"May 02, 2021",$31.79,$32.66,$30.47,$31.30,"$241,565,270","$4,031,658,840"
"May 03, 2021",$31.32,$37.08,$31.17,$35.93,"$613,797,104","$4,627,853,823"
"May 04, 2021",$35.88,$36.14,$29.98,$30.36,"$429,905,095","$3,910,843,135"
"May 05, 2021",$30.29,$35.56,$29.84,$35.26,"$311,207,014","$4,542,327,713"
"May 06, 2021",$35.25,$39.30,$34.75,$37.98,"$615,820,256","$4,892,695,821"
"May 07, 2021",$37.97,$43.74,$36.01,$38.05,"$812,137,105","$4,901,815,366"
"May 08, 2021",$37.90,$39.78,$37.27,$38.32,"$350,546,182","$4,937,112,738"
"May 09, 2021",$38.40,$39.36,$35.33,$39.02,"$329,199,843","$5,028,398,787"
"May 10, 2021",$38.93,$41.78,$30.22,$34.70,"$528,356,770","$4,471,965,231"
"May 11, 2021",$34.69,$37.25,$32.58,$36.82,"$342,073,952","$4,746,149,383"
"May 12, 2021",$36.76,$41.45,$32.02,$32.02,"$635,368,557","$4,126,628,175"
"May 13, 2021",$32.81,$37.16,$31.04,$34.98,"$539,807,645","$4,508,793,010"
"May 14, 2021",$35.04,$37.98,$33.39,$36.95,"$343,970,663","$4,763,137,423"
"May 15, 2021",$36.95,$39.83,$34.14,$34.41,"$601,746,075","$4,435,903,856"
"May 16, 2021",$34.43,$39.50,$32.61,$36.52,"$566,714,442","$4,707,785,297"
"May 17, 2021",$36.55,$37.64,$31.96,$33.66,"$457,823,166","$4,339,695,503"
"May 18, 2021",$33.63,$37.68,$33.32,$36.82,"$369,926,391","$4,753,460,155"
"May 19, 2021",$36.98,$38.42,$18.68,$23.38,"$583,118,261","$3,018,786,326"
"May 20, 2021",$23.13,$28.17,$20.92,$25.20,"$356,467,352","$3,253,116,744"
"May 21, 2021",$25.10,$26.72,$18.45,$21.80,"$262,253,583","$2,814,908,851"
"May 22, 2021",$21.87,$22.17,$18.34,$18.85,"$159,666,877","$2,434,016,750"
"May 23, 2021",$18.85,$19.67,$12.15,$15.76,"$241,105,086","$2,034,699,692"
"May 24, 2021",$15.63,$20.48,$15.12,$19.41,"$248,935,736","$2,509,417,042"
"May 25, 2021",$19.39,$20.19,$17.09,$19.45,"$177,064,640","$2,517,955,957"
"May 26, 2021",$19.49,$21.45,$19.06,$20.91,"$183,798,753","$2,708,771,779"
"May 27, 2021",$20.83,$21.23,$18.79,$19.00,"$120,995,855","$2,464,117,324"
"May 28, 2021",$19.07,$19.60,$16.06,$16.73,"$124,661,585","$2,172,039,592"
"May 29, 2021",$16.73,$17.59,$15.20,$16.13,"$73,317,089","$2,095,283,977"
"May 30, 2021",$16.18,$17.44,$15.17,$16.53,"$66,551,414","$2,149,588,028"
"May 31, 2021",$16.52,$18.19,$15.72,$18.16,"$83,671,863","$2,362,750,405"
"Jun 01, 2021",$18.16,$18.55,$17.16,$17.77,"$80,656,521","$2,315,723,239"
"Jun 02, 2021",$17.75,$19.37,$17.18,$18.68,"$101,921,641","$2,435,677,957"
"Jun 03, 2021",$18.70,$20.69,$18.28,$20.24,"$118,155,006","$2,642,034,953"
"Jun 04, 2021",$20.28,$20.54,$17.46,$18.25,"$108,497,012","$2,383,535,763"
"Jun 05, 2021",$18.26,$19.15,$16.93,$17.25,"$92,501,652","$2,255,294,668"
"Jun 06, 2021",$17.24,$17.99,$17.13,$17.40,"$48,841,452","$2,274,827,056"
"Jun 07, 2021",$17.40,$18.06,$15.38,$15.52,"$129,221,032","$2,664,941,548"
"Jun 08, 2021",$15.55,$16.04,$13.70,$14.87,"$123,776,326","$2,555,181,874"
"Jun 09, 2021",$14.81,$15.76,$13.68,$15.39,"$107,246,374","$2,646,465,881"
"Jun 10, 2021",$15.39,$15.58,$13.78,$14.18,"$90,307,844","$2,440,029,903"
"Jun 11, 2021",$14.20,$14.61,$13.16,$13.42,"$79,178,329","$2,311,334,971"
"Jun 12, 2021",$13.42,$13.88,$12.66,$13.55,"$79,705,597","$2,336,422,378"
"Jun 13, 2021",$13.53,$14.98,$13.28,$14.78,"$97,026,435","$2,547,455,246"
"Jun 14, 2021",$14.75,$15.44,$14.44,$14.97,"$99,438,783","$2,580,299,354"
"Jun 15, 2021",$15.07,$15.52,$14.63,$15.18,"$95,150,889","$2,617,315,102"
"Jun 16, 2021",$14.72,$14.92,$13.93,$14.07,"$79,021,452","$2,425,523,264"
"Jun 17, 2021",$14.08,$15.47,$14.03,$14.83,"$100,424,428","$2,557,318,049"
"Jun 18, 2021",$14.86,$15.28,$13.14,$13.63,"$78,295,122","$2,349,692,456"
"Jun 19, 2021",$13.64,$14.05,$13.24,$13.46,"$37,953,811","$2,320,356,930"
"Jun 20, 2021",$13.40,$14.14,$12.84,$13.97,"$55,939,670","$2,408,852,566"
"Jun 21, 2021",$13.93,$14.06,$11.08,$11.21,"$86,300,256","$1,932,913,802"
"Jun 22, 2021",$11.19,$11.74,$9.37,$10.53,"$109,716,996","$1,814,973,869"
"Jun 23, 2021",$10.55,$11.79,$10.18,$11.19,"$76,905,669","$1,930,039,728"
"Jun 24, 2021",$11.47,$11.75,$10.84,$11.48,"$51,808,717","$1,979,870,369"
"Jun 25, 2021",$11.49,$11.75,$10.21,$10.27,"$53,164,067","$1,770,850,125"
"Jun 26, 2021",$10.24,$10.60,$9.79,$10.28,"$42,029,114","$1,771,695,010"
"Jun 27, 2021",$10.33,$10.99,$10.10,$10.92,"$34,727,228","$1,882,647,809"
"Jun 28, 2021",$10.95,$11.47,$10.73,$11.29,"$45,312,867","$1,945,962,398"
"Jun 29, 2021",$11.30,$12.35,$11.09,$11.85,"$60,893,173","$2,043,400,110"
"Jun 30, 2021",$11.93,$12.09,$11.04,$11.96,"$52,911,536","$2,061,353,421"
"Jul 01, 2021",$11.95,$12.07,$11.01,$11.23,"$33,886,419","$1,936,223,352"
"Jul 02, 2021",$11.22,$11.35,$10.58,$11.13,"$40,854,419","$1,919,471,791"
"Jul 03, 2021",$11.11,$11.67,$10.88,$11.50,"$33,146,235","$1,983,482,524"
"Jul 04, 2021",$11.50,$12.87,$11.21,$12.35,"$60,403,499","$2,129,381,622"
"Jul 05, 2021",$12.34,$12.42,$11.60,$12.03,"$64,962,340","$2,073,640,581"
