Date,Open*,High,Low,Close,Volume,Market Cap,
10-Jun-2021,$0.04,$0.04,$0.03,$0.034430,"$19,277,491","$126,356,697",-61.71%
11-Jun-2021,$0.03,$0.04,$0.03,$0.032720,"$17,273,481","$120,269,295",-55.56%
12-Jun-2021,$0.03,$0.03,$0.03,$0.031140,"$15,514,137","$114,486,863",-58.82%
13-Jun-2021,$0.03,$0.03,$0.03,$0.033390,"$16,440,387","$122,786,888",-58.73%
14-Jun-2021,$0.03,$0.04,$0.03,$0.033570,"$16,906,736","$123,441,046",-54.09%
15-Jun-2021,$0.03,$0.04,$0.03,$0.034660,"$15,479,018","$127,758,068",-53.66%
16-Jun-2021,$0.04,$0.04,$0.03,$0.034210,"$27,057,292","$126,132,796",-48.65%
17-Jun-2021,$0.03,$0.04,$0.03,$0.033630,"$11,367,388","$124,159,820",-52.20%
18-Jun-2021,$0.03,$0.03,$0.03,$0.031050,"$10,522,482","$114,676,654",-24.42%
19-Jun-2021,$0.03,$0.03,$0.03,$0.029950,"$9,836,954","$110,610,415",-37.59%
20-Jun-2021,$0.03,$0.03,$0.03,$0.029430,"$11,326,064","$108,691,719",-26.75%
21-Jun-2021,$0.03,$0.03,$0.02,$0.023510,"$13,883,887","$86,823,104",-55.39%
22-Jun-2021,$0.02,$0.03,$0.02,$0.022620,"$17,719,979","$83,565,607",-41.81%
23-Jun-2021,$0.02,$0.03,$0.02,$0.024320,"$14,024,313","$89,419,319",-45.92%
24-Jun-2021,$0.02,$0.03,$0.02,$0.024400,"$7,647,286","$89,732,313",-44.23%
25-Jun-2021,$0.02,$0.03,$0.02,$0.022000,"$8,536,630","$81,358,168",-55.37%
26-Jun-2021,$0.02,$0.02,$0.02,$0.021730,"$6,637,745","$80,361,117",-56.93%
27-Jun-2021,$0.02,$0.02,$0.02,$0.023020,"$6,256,504","$85,122,338",-46.00%
28-Jun-2021,$0.02,$0.02,$0.02,$0.024400,"$8,316,951","$90,283,226",-37.95%
29-Jun-2021,$0.02,$0.03,$0.02,$0.026000,"$16,526,883","$96,207,490",-35.96%
30-Jun-2021,$0.03,$0.03,$0.02,$0.025910,"$8,520,419","$95,862,860",-40.60%
1-Jul-2021,$0.03,$0.03,$0.02,$0.027510,"$16,115,866","$101,892,425",-35.57%
